country_code,year,ai_papers,total_citations,avg_citations_per_paper,median_citations_per_paper,avg_authors_per_paper,avg_institutions_per_paper,international_collaboration_rate
AE,2017,1,673,673.0,673.0,3.0,2.0,1.0
AE,2018,3,2305,768.3333,739.0,4.3333,3.3333,1.0
AE,2019,6,6777,1129.5,986.0,10.1667,6.5,1.0
AE,2020,9,9247,1027.4444,863.0,5.5556,3.3333,0.8889
AE,2021,14,13623,973.0714,757.5,5.3571,5.0714,0.9286
AE,2022,17,12448,732.2353,452.0,7.7059,5.2941,0.8824
AE,2023,30,14807,493.5667,371.0,10.3333,6.9667,0.8667
AE,2024,23,4931,214.3913,177.0,9.1304,6.3043,0.913
AE,2025,23,2362,102.6957,81.0,10.9565,9.5652,0.913
AF,2024,1,158,158.0,158.0,6.0,6.0,1.0
AG,2023,1,422,422.0,422.0,13.0,29.0,1.0
AL,2024,1,502,502.0,502.0,97.0,80.0,1.0
AM,2019,1,622,622.0,622.0,5.0,4.0,1.0
AM,2021,1,532,532.0,532.0,3.0,2.0,1.0
AM,2023,1,365,365.0,365.0,10.0,7.0,1.0
AM,2025,1,59,59.0,59.0,8.0,7.0,1.0
AO,2025,1,105,105.0,105.0,78.0,71.0,1.0
AR,2016,8,11025,1378.125,813.0,38.0,20.25,0.75
AR,2017,4,3075,768.75,734.5,20.25,16.25,1.0
AR,2018,2,1674,837.0,837.0,29.0,26.5,1.0
AR,2019,3,2041,680.3333,663.0,6.0,5.0,1.0
AR,2020,2,1313,656.5,656.5,5.0,5.5,0.5
AR,2021,1,772,772.0,772.0,92.0,86.0,1.0
AR,2023,1,794,794.0,794.0,14.0,14.0,1.0
AR,2024,2,574,287.0,287.0,71.5,78.5,1.0
AR,2025,3,234,78.0,65.0,21.0,9.3333,0.6667
AT,2016,21,32423,1543.9524,1044.0,15.8571,8.5714,0.7143
AT,2017,18,41496,2305.3333,831.5,12.4444,10.0556,0.9444
AT,2018,18,26960,1497.7778,1326.5,12.8889,9.7778,0.7222
AT,2019,15,18816,1254.4,971.0,24.9333,15.6,0.8
AT,2020,22,36130,1642.2727,819.5,10.5455,7.5455,0.8182
AT,2021,11,13300,1209.0909,772.0,24.6364,21.5455,1.0
AT,2022,11,5677,516.0909,452.0,28.0,21.0909,0.9091
AT,2023,15,81855,5457.0,399.0,24.6667,14.8,0.9333
AT,2024,12,6186,515.5,392.0,24.0,25.75,0.9167
AT,2025,14,1773,126.6429,70.0,24.8571,21.0714,0.7857
AU,2016,59,89950,1524.5763,988.0,11.7627,8.1017,0.7288
AU,2017,60,95557,1592.6167,936.0,8.3333,5.4667,0.6667
AU,2018,60,81460,1357.6667,893.0,9.1167,6.8667,0.8167
AU,2019,77,93525,1214.6104,876.0,10.974,7.3506,0.7662
AU,2020,73,112395,1539.6575,856.0,9.4384,7.7397,0.8082
AU,2021,92,93184,1012.8696,597.0,9.163,7.3043,0.7935
AU,2022,87,52971,608.8621,489.0,13.954,9.977,0.7816
AU,2023,75,40330,537.7333,385.0,15.8667,9.96,0.8
AU,2024,93,27632,297.1183,205.0,14.1398,11.0108,0.8602
AU,2025,76,7764,102.1579,71.5,16.6842,14.0395,0.8158
AZ,2018,1,969,969.0,969.0,16.0,11.0,1.0
AZ,2024,1,190,190.0,190.0,8.0,7.0,1.0
AZ,2025,4,343,85.75,83.5,3.0,3.25,1.0
BA,2018,1,818,818.0,818.0,2.0,1.0,0.0
BA,2019,1,1327,1327.0,1327.0,4.0,3.0,1.0
BA,2021,1,394,394.0,394.0,29.0,34.0,1.0
BA,2025,3,230,76.6667,70.0,31.0,30.0,1.0
BB,2022,1,569,569.0,569.0,1.0,1.0,0.0
BD,2016,1,1015,1015.0,1015.0,4.0,3.0,1.0
BD,2017,1,819,819.0,819.0,6.0,3.0,1.0
BD,2018,1,871,871.0,871.0,4.0,3.0,1.0
BD,2019,4,5294,1323.5,1222.0,4.25,3.25,0.25
BD,2020,10,6511,651.1,600.0,6.0,3.8,0.7
BD,2021,11,12759,1159.9091,495.0,5.0909,4.2727,1.0
BD,2022,9,4382,486.8889,383.0,4.6667,4.1111,0.8889
BD,2023,7,3632,518.8571,368.0,6.0,4.8571,0.8571
BD,2024,14,2846,203.2857,168.5,6.7857,3.0,0.6429
BD,2025,20,1733,86.65,92.5,6.15,4.7,0.75
BE,2016,17,17967,1056.8824,902.0,8.4118,6.4706,0.8235
BE,2017,13,20824,1601.8462,1281.0,17.2308,13.4615,0.9231
BE,2018,19,31303,1647.5263,864.0,5.5263,4.0,0.7368
BE,2019,19,20693,1089.1053,797.0,12.5263,8.7895,0.8947
BE,2020,19,24918,1311.4737,875.0,13.5263,11.9474,0.7895
BE,2021,16,14856,928.5,660.0,19.9375,14.0625,0.9375
BE,2022,8,4346,543.25,546.5,47.5,28.875,1.0
BE,2023,9,3622,402.4444,318.0,6.4444,4.2222,1.0
BE,2024,14,5169,369.2143,192.5,27.6429,21.6429,0.9286
BE,2025,12,1628,135.6667,86.5,28.0833,22.0,0.9167
BG,2021,2,809,404.5,404.5,21.5,23.0,1.0
BG,2023,4,1287,321.75,280.0,20.75,13.25,0.75
BG,2024,2,519,259.5,259.5,6.0,3.5,1.0
BG,2025,1,53,53.0,53.0,2.0,2.0,1.0
BH,2024,1,158,158.0,158.0,4.0,1.0,0.0
BH,2025,3,210,70.0,58.0,6.0,6.0,1.0
BI,2016,2,1330,665.0,665.0,3.0,4.5,1.0
BI,2017,2,1792,896.0,896.0,3.0,8.0,1.0
BI,2022,1,814,814.0,814.0,29.0,21.0,1.0
BJ,2021,1,669,669.0,669.0,22.0,23.0,1.0
BJ,2024,1,502,502.0,502.0,97.0,80.0,1.0
BM,2016,1,713,713.0,713.0,92.0,63.0,1.0
BN,2022,1,339,339.0,339.0,16.0,7.0,1.0
BN,2024,1,142,142.0,142.0,4.0,1.0,0.0
BN,2025,1,99,99.0,99.0,4.0,1.0,0.0
BO,2022,1,550,550.0,550.0,85.0,19.0,1.0
BR,2016,12,9491,790.9167,764.5,20.75,11.9167,0.6667
BR,2017,11,13356,1214.1818,892.0,15.4545,11.0,0.8182
BR,2018,5,6125,1225.0,1079.0,3.4,2.4,0.6
BR,2019,9,7238,804.2222,737.0,28.6667,21.4444,0.7778
BR,2020,13,10249,788.3846,740.0,5.6923,4.0769,0.7692
BR,2021,7,4627,661.0,724.0,26.2857,24.4286,0.8571
BR,2022,11,7108,646.1818,403.0,33.7273,18.3636,0.8182
BR,2023,8,3204,400.5,310.5,9.5,5.375,0.875
BR,2024,7,1958,279.7143,228.0,9.1429,6.1429,0.8571
BR,2025,7,638,91.1429,78.0,37.2857,32.8571,1.0
BW,2020,1,544,544.0,544.0,8.0,9.0,1.0
BW,2021,1,978,978.0,978.0,6.0,1.0,0.0
BY,2017,2,4036,2018.0,2018.0,37.0,19.0,1.0
BY,2019,1,776,776.0,776.0,9.0,7.0,1.0
BY,2022,1,495,495.0,495.0,87.0,44.0,1.0
BY,2025,1,75,75.0,75.0,8.0,6.0,1.0
CA,2016,67,75918,1133.1045,856.0,10.5672,7.0448,0.806
CA,2017,72,223556,3104.9444,1004.5,9.0694,6.7639,0.8194
CA,2018,61,85902,1408.2295,943.0,8.2131,6.459,0.8197
CA,2019,65,70537,1085.1846,835.0,14.6615,10.5846,0.8154
CA,2020,81,101630,1254.6914,772.0,10.0988,8.1852,0.7037
CA,2021,75,63796,850.6133,575.0,12.0,8.8667,0.8267
CA,2022,65,34871,536.4769,441.0,18.2154,13.2615,0.8462
CA,2023,70,37712,538.7429,380.0,14.0,9.9571,0.8429
CA,2024,66,22519,341.197,223.0,16.2576,12.5606,0.8939
CA,2025,64,13094,204.5938,76.5,18.0469,14.8125,0.9219
CD,2017,1,730,730.0,730.0,22.0,22.0,1.0
CD,2024,1,164,164.0,164.0,8.0,4.0,1.0
CD,2025,1,105,105.0,105.0,78.0,71.0,1.0
CH,2016,49,86408,1763.4286,1077.0,9.7347,6.7551,0.6939
CH,2017,47,76048,1618.0426,971.0,10.3404,8.2128,0.8511
CH,2018,33,42883,1299.4848,1074.0,8.7576,6.7879,0.8182
CH,2019,50,62072,1241.44,914.5,12.3,9.02,0.72
CH,2020,34,39246,1154.2941,860.5,15.8824,13.8235,0.9118
CH,2021,34,26273,772.7353,556.5,11.1471,9.8529,0.8235
CH,2022,34,23467,690.2059,465.5,25.8235,12.0882,0.9118
CH,2023,37,15739,425.3784,331.0,12.7027,8.7297,0.8649
CH,2024,31,7768,250.5806,183.0,22.2258,17.8387,0.7419
CH,2025,37,3314,89.5676,65.0,19.5135,15.1351,0.8378
CL,2016,5,5914,1182.8,1250.0,6.4,5.6,1.0
CL,2017,2,1463,731.5,731.5,17.5,16.5,1.0
CL,2018,2,1524,762.0,762.0,7.0,6.5,1.0
CL,2019,1,973,973.0,973.0,37.0,29.0,1.0
CL,2020,2,2642,1321.0,1321.0,26.0,24.0,1.0
CL,2021,2,2019,1009.5,1009.5,19.5,15.5,1.0
CL,2022,3,2066,688.6667,807.0,41.6667,29.6667,1.0
CL,2023,2,1595,797.5,797.5,9.5,4.0,1.0
CL,2024,1,153,153.0,153.0,9.0,4.0,1.0
CL,2025,4,361,90.25,70.5,29.0,18.0,0.5
CM,2017,1,664,664.0,664.0,7.0,6.0,1.0
CM,2020,1,1148,1148.0,1148.0,4.0,2.0,1.0
CM,2023,1,277,277.0,277.0,4.0,3.0,1.0
CN,2016,157,245881,1566.121,883.0,6.5032,3.9045,0.6051
CN,2017,215,339839,1580.6465,883.0,6.214,3.6605,0.6326
CN,2018,216,256397,1187.0231,912.5,5.7824,3.0787,0.5972
CN,2019,253,308939,1221.1028,862.0,7.6996,4.5613,0.6996
CN,2020,276,289554,1049.1087,697.5,5.9239,3.3587,0.5797
CN,2021,294,265288,902.3401,565.5,7.0408,4.1973,0.585
CN,2022,359,196266,546.7019,422.0,7.6546,4.3287,0.5682
CN,2023,316,136161,430.8892,327.0,8.0538,4.7722,0.6013
CN,2024,325,81994,252.2892,179.0,8.3846,4.6954,0.5723
CN,2025,388,47037,121.2294,65.0,8.0773,4.4897,0.482
CO,2016,3,7062,2354.0,3158.0,7.0,6.3333,1.0
CO,2017,1,702,702.0,702.0,7.0,6.0,1.0
CO,2019,1,601,601.0,601.0,16.0,19.0,1.0
CO,2020,5,6623,1324.6,815.0,19.0,19.4,0.8
CO,2022,3,2215,738.3333,661.0,22.0,14.6667,1.0
CO,2024,1,479,479.0,479.0,19.0,26.0,1.0
CO,2025,1,61,61.0,61.0,100.0,73.0,1.0
CU,2017,1,1332,1332.0,1332.0,32.0,11.0,1.0
